127.0.0.1 - - [11/Jun/2022:22:53:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:53:39 +0900] "GET /test/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:53:39 +0900] "GET /test/css/myinfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:53:47 +0900] "POST /test/myInfoReviseAction.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:53:48 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:53:48 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:53 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:53 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:53 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:53 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:53 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:54 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:55:54 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:56:00 +0900] "POST /test/myInfoReviseAction.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:36 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:36 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:36 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:36 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:37 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:37 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:37 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:39 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:39 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:44 +0900] "POST /test/myInfoReviseAction.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:45 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:57:45 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:58:23 +0900] "POST /test/myInfoReviseAction.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:58:27 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [11/Jun/2022:22:58:27 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
